timestamp,item_id,target
2023-06-11,AAPL,178.78970336914062
2023-06-12,AAPL,181.5857696533203
2023-06-13,AAPL,181.1115264892578
2023-06-14,AAPL,181.7438507080078
2023-06-15,AAPL,183.77914428710938
2023-06-16,AAPL,182.70220947265625
2023-06-17,AAPL,182.70220947265625
2023-06-18,AAPL,182.70220947265625
2023-06-19,AAPL,182.70220947265625
2023-06-20,AAPL,182.79112243652344
2023-06-21,AAPL,181.7537384033203
2023-06-22,AAPL,184.75726318359375
2023-06-23,AAPL,184.44110107421875
2023-06-24,AAPL,184.44110107421875
2023-06-25,AAPL,184.44110107421875
2023-06-26,AAPL,183.04803466796875
2023-06-27,AAPL,185.80458068847656
2023-06-28,AAPL,186.9802703857422
2023-06-29,AAPL,187.3162078857422
2023-06-30,AAPL,191.6436767578125
