item_id,timestamp,target
KB금융,2026-01-16,130900
KB금융,2026-01-19,129500
KB금융,2026-01-20,133100
KB금융,2026-01-21,136800
KB금융,2026-01-22,134700
KB금융,2026-01-23,135800
셀트리온,2025-12-24,182000
셀트리온,2025-12-26,180000
셀트리온,2025-12-29,181300
셀트리온,2025-12-30,181000
셀트리온,2026-01-02,202500
셀트리온,2026-01-05,209500
셀트리온,2026-01-06,213000
셀트리온,2026-01-07,211000
셀트리온,2026-01-08,213000
셀트리온,2026-01-09,217000
셀트리온,2026-01-12,214000
셀트리온,2026-01-13,221000
셀트리온,2026-01-14,211500
셀트리온,2026-01-15,210500
셀트리온,2026-01-16,209000
셀트리온,2026-01-19,206500
셀트리온,2026-01-20,207000
셀트리온,2026-01-21,204000
셀트리온,2026-01-22,208000
셀트리온,2026-01-23,212000
한화오션,2025-12-24,119000
한화오션,2025-12-26,116500
한화오션,2025-12-29,115600
한화오션,2025-12-30,113600
한화오션,2026-01-02,114700
한화오션,2026-01-05,117900
한화오션,2026-01-06,119800
한화오션,2026-01-07,121200
한화오션,2026-01-08,129700
한화오션,2026-01-09,134400
한화오션,2026-01-12,145700
한화오션,2026-01-13,149900
한화오션,2026-01-14,142000
한화오션,2026-01-15,148900
한화오션,2026-01-16,147000
한화오션,2026-01-19,148800
한화오션,2026-01-20,147100
한화오션,2026-01-21,141500
한화오션,2026-01-22,137700
한화오션,2026-01-23,139900
NAVER,2025-12-24,236500
NAVER,2025-12-26,231500
NAVER,2025-12-29,242000
NAVER,2025-12-30,242500
NAVER,2026-01-02,247000
NAVER,2026-01-05,249500
NAVER,2026-01-06,260000
NAVER,2026-01-07,252500
NAVER,2026-01-08,251000
NAVER,2026-01-09,254000
NAVER,2026-01-12,255500
NAVER,2026-01-13,264500
NAVER,2026-01-14,259500
NAVER,2026-01-15,247500
NAVER,2026-01-16,245500
NAVER,2026-01-19,238000
NAVER,2026-01-20,244000
NAVER,2026-01-21,238500
NAVER,2026-01-22,245500
NAVER,2026-01-23,264500
현대모비스,2025-12-24,365000
현대모비스,2025-12-26,358000
현대모비스,2025-12-29,366500
현대모비스,2025-12-30,373000
